iter	Passed	Remaining
807	1191	283
808	1192	281
809	1193	280
810	1194	278
811	1195	276
812	1196	275
813	1198	273
814	1199	272
815	1200	270
816	1202	269
817	1202	267
818	1203	266
819	1204	264
820	1205	262
821	1206	261
822	1207	259
823	1208	258
824	1209	256
825	1210	255
826	1211	253
827	1213	252
828	1214	250
829	1215	249
830	1216	247
831	1218	245
832	1219	244
833	1220	242
834	1221	241
835	1222	239
836	1223	238
837	1224	236
838	1225	235
839	1225	233
840	1226	231
841	1228	230
842	1230	229
843	1231	227
844	1231	225
845	1232	224
846	1233	222
847	1234	221
848	1235	219
849	1236	218
850	1237	216
851	1237	215
852	1238	213
853	1239	211
854	1240	210
855	1241	208
856	1242	207
857	1244	205
858	1245	204
859	1246	202
860	1247	201
861	1248	199
862	1249	198
863	1250	196
864	1251	195
865	1252	193
866	1253	192
867	1254	190
868	1255	189
869	1255	187
870	1257	186
871	1258	184
872	1259	183
873	1260	181
874	1261	180
875	1262	178
876	1263	177
877	1264	175
878	1264	174
879	1265	172
880	1266	171
881	1267	169
882	1268	168
883	1269	166
884	1269	165
885	1270	163
886	1271	161
887	1273	160
888	1274	159
889	1276	157
890	1277	156
891	1278	154
892	1279	153
893	1280	151
894	1280	150
895	1281	148
896	1282	147
897	1283	145
898	1284	144
899	1285	142
900	1287	141
901	1288	140
902	1290	138
903	1291	137
904	1292	135
905	1293	134
906	1294	132
907	1295	131
908	1295	129
909	1296	128
910	1297	126
911	1298	125
912	1299	123
913	1300	122
914	1302	120
915	1303	119
916	1305	118
917	1306	116
918	1307	115
919	1308	113
920	1310	112
921	1311	110
922	1312	109
923	1313	108
924	1314	106
925	1315	105
926	1316	103
927	1317	102
928	1319	100
929	1321	99
930	1321	97
931	1322	96
932	1323	95
933	1324	93
934	1325	92
935	1326	90
936	1326	89
937	1327	87
938	1328	86
939	1329	84
940	1330	83
941	1330	81
942	1331	80
943	1332	79
944	1334	77
945	1336	76
946	1336	74
947	1337	73
948	1339	71
949	1339	70
950	1340	69
951	1341	67
952	1342	66
953	1343	64
954	1344	63
955	1345	61
956	1346	60
957	1347	59
958	1348	57
959	1350	56
960	1351	54
961	1352	53
962	1353	51
963	1353	50
964	1354	49
965	1355	47
966	1356	46
967	1357	44
968	1357	43
969	1358	42
970	1359	40
971	1360	39
972	1361	37
973	1362	36
974	1363	34
975	1365	33
976	1366	32
977	1367	30
978	1367	29
979	1368	27
980	1369	26
981	1370	25
982	1371	23
983	1372	22
984	1372	20
985	1373	19
986	1374	18
987	1375	16
988	1376	15
989	1377	13
990	1378	12
991	1379	11
992	1380	9
993	1381	8
994	1382	6
995	1383	5
996	1384	4
997	1384	2
998	1385	1
999	1386	0
